timestamp,value
41575,15863.55
41576,31231.05
41577,2390.17
41578,2353.4
41579,10554.84
41580,34977.24
41581,15621.5
41582,23983.14
41583,31410.14
41584,250.32
41585,192.99
41586,1840.93
41587,18664.92
41588,21925.05
41589,32784.98
41590,32020.53
41591,28815.53
41592,3914.38
41593,2765.28
41594,16528.81
41595,12823.72
41596,38737.54
41597,22594.53
41598,9882.24
41599,242.52
41600,3614.33
41601,24217.36
41602,26046.02
41603,21290.89
41604,715.53
41605,7980.29
41606,1100.65
41607,682.15
41608,2915.64
41609,601.77
41610,1026.47
41611,666.91
41612,746.72
41613,496.03
41614,684.53
41615,4854.32
41616,67.99
41617,320.36
41618,244.65
41619,363.61
41620,3987.22
41621,188.73
41622,742.63
41623,872.79
41624,3545.43
41625,767.49
41626,6671.69
41627,1710.71
41628,15734.74
41629,87292.78
41630,1911.36
41631,1036.7
41632,353.31
41633,672.26
41634,2168.89
41635,877.17
41636,6037.2
41637,467.63
41638,264.49
41639,803.11
41640,3821.18
41641,5621.27
41642,281.36
41643,93.79
41644,356.83
41645,882.65
41646,622.31
41647,311.98
41648,3531.81
41649,4179.75
41650,58138.02
41651,169.18
41652,258.97
41653,537.11
41654,1033.85
41655,2099.35
41656,3688.15
41657,32326.94
41658,17637.72
41659,17740.79
41660,13807.2
41661,5359.55
41662,30015.07
41663,15735.65
41664,14054.06
41665,4900.41
41666,563.64
41667,907.29
41668,6210.15
41669,3376.05
41670,6231.15
41671,3579.82
41672,359.31
41673,25823.05
41674,648.83
41677,54.45
41678,90.69
41679,749.39
41680,207.88
41681,258.65
41682,476.07
41683,149.51
41684,836.73
41685,7969.39
41686,749.46
41687,93.59
41688,411.96
41689,280.05
41690,655.19
41691,704.43
41692,3446.67
41693,296.01
41694,1952.48
41695,737.03
41696,809.62
41697,2624.56
41698,771.72
41699,8074.31
41700,342.33
41701,101.63
41702,1884.53
41703,1213.25
41704,-284.12
41705,16694.07
41706,9042.13
41707,1237.55
41708,256.87
41709,375.86
41710,6936.74
41711,434.6
41712,5363.16
41713,2582.82
41714,165.66
41715,375.41
41716,1294.87
41717,546.8
41718,1133.2
41719,394.57
41720,173.3
41721,438.66
41722,3235.09
41723,565.48
41724,516.86
41725,2095.81
41726,7074.55
41727,8686.56
41728,2219.69
41729,346.83
41730,2510.61
41731,1040.17
41732,2736.91
41733,961.26
41734,7987.97
41735,2560.43
41736,935.6
41737,-117.04
41738,423.2
41739,1252.43
41740,4668.63
41741,327.83
41742,732.89
41743,216.04
41744,367.96
41745,4443.65
41746,-216.02
41747,936.25
41748,960.97
41749,5650.74
41750,238.46
41751,959.56
41752,1742.09
41753,362.87
41754,502.49
41755,2548.35
